text_generator;text_length;wildcards;pattern_length;searcher;test_result_duration_nano;test_result_char_comparisons
DNA;10000;true;2200;KMP (Standard Borders);157284;52658
DNA;10000;true;2200;KMP (Precise Borders);162075;54267
DNA;10000;true;2300;Naive;49302;13892
DNA;10000;true;2300;KMP (Standard Borders);168430;56392
DNA;10000;true;2300;KMP (Precise Borders);172917;58102
DNA;10000;true;2400;Naive;49528;13994
DNA;10000;true;2400;KMP (Standard Borders);163888;55369
DNA;10000;true;2400;KMP (Precise Borders);168052;57080
DNA;10000;true;2500;Naive;49798;14082
DNA;10000;true;2500;KMP (Standard Borders);152463;51945
DNA;10000;true;2500;KMP (Precise Borders);158493;53752
DNA;10000;true;2600;Naive;49711;14185
DNA;10000;true;2600;KMP (Standard Borders);162202;54928
DNA;10000;true;2600;KMP (Precise Borders);168201;56908
DNA;10000;true;2700;Naive;49867;14173
DNA;10000;true;2700;KMP (Standard Borders);155510;52956
DNA;10000;true;2700;KMP (Precise Borders);162220;55064
DNA;10000;true;2800;Naive;50167;14254
DNA;10000;true;2800;KMP (Standard Borders);163534;55517
DNA;10000;true;2800;KMP (Precise Borders);173177;57778
DNA;10000;true;2900;Naive;50217;14409
DNA;10000;true;2900;KMP (Standard Borders);158253;54076
DNA;10000;true;2900;KMP (Precise Borders);168584;56351
DNA;10000;true;3000;Naive;50103;14196
DNA;10000;true;3000;KMP (Standard Borders);169071;57584
DNA;10000;true;3000;KMP (Precise Borders);177688;59976
DNA;100000;false;100;Naive;469743;133426
DNA;100000;false;100;KMP (Standard Borders);408713;132951
DNA;100000;false;100;KMP (Precise Borders);389418;131574
DNA;100000;false;200;Naive;472210;133559
DNA;100000;false;200;KMP (Standard Borders);410683;133258
DNA;100000;false;200;KMP (Precise Borders);393084;132186
DNA;100000;false;300;Naive;469161;133627
DNA;100000;false;300;KMP (Standard Borders);407703;133316
DNA;100000;false;300;KMP (Precise Borders);389262;132058
DNA;100000;false;400;Naive;472229;133744
DNA;100000;false;400;KMP (Standard Borders);411528;133668
DNA;100000;false;400;KMP (Precise Borders);394322;132796
DNA;100000;false;500;Naive;473232;133818
DNA;100000;false;500;KMP (Standard Borders);413406;133766
DNA;100000;false;500;KMP (Precise Borders);397168;132910
DNA;100000;false;600;Naive;478202;133912
DNA;100000;false;600;KMP (Standard Borders);419734;134101
DNA;100000;false;600;KMP (Precise Borders);403239;133606
DNA;100000;false;700;Naive;475598;134050
DNA;100000;false;700;KMP (Standard Borders);417895;134330
DNA;100000;false;700;KMP (Precise Borders);403436;133963
DNA;100000;false;800;Naive;472766;134144
DNA;100000;false;800;KMP (Standard Borders);414098;134403
DNA;100000;false;800;KMP (Precise Borders);398096;133764
DNA;100000;false;900;Naive;474407;134239
DNA;100000;false;900;KMP (Standard Borders);416194;134672
DNA;100000;false;900;KMP (Precise Borders);400519;134288
DNA;100000;false;1000;Naive;475648;134331
DNA;100000;false;1000;KMP (Standard Borders);418050;134891
DNA;100000;false;1000;KMP (Precise Borders);403908;134721
DNA;100000;false;1100;Naive;473124;134436
DNA;100000;false;1100;KMP (Standard Borders);415177;135006
DNA;100000;false;1100;KMP (Precise Borders);400531;134701
DNA;100000;false;1200;Naive;471950;134530
DNA;100000;false;1200;KMP (Standard Borders);413812;135148
DNA;100000;false;1200;KMP (Precise Borders);398709;134722
DNA;100000;false;1300;Naive;471668;134633
DNA;100000;false;1300;KMP (Standard Borders);414037;135298
DNA;100000;false;1300;KMP (Precise Borders);398382;134951
DNA;100000;false;1400;Naive;474386;134724
DNA;100000;false;1400;KMP (Standard Borders);417962;135609
DNA;100000;false;1400;KMP (Precise Borders);403710;135733
DNA;100000;false;1500;Naive;473878;134839
DNA;100000;false;1500;KMP (Standard Borders);416744;135778
DNA;100000;false;1500;KMP (Precise Borders);403061;135797
DNA;100000;false;1600;Naive;471867;134914
DNA;100000;false;1600;KMP (Standard Borders);413965;135876
DNA;100000;false;1600;KMP (Precise Borders);400936;135751
DNA;100000;false;1700;Naive;473395;135030
DNA;100000;false;1700;KMP (Standard Borders);417238;136166
DNA;100000;false;1700;KMP (Precise Borders);404887;136379
DNA;100000;false;1800;Naive;477246;135118
DNA;100000;false;1800;KMP (Standard Borders);420042;136434
DNA;100000;false;1800;KMP (Precise Borders);407213;136896
DNA;100000;false;1900;Naive;474741;135219
DNA;100000;false;1900;KMP (Standard Borders);419236;136572
DNA;100000;false;1900;KMP (Precise Borders);406834;136985
DNA;100000;false;2000;Naive;474631;135309
DNA;100000;false;2000;KMP (Standard Borders);417989;136745
DNA;100000;false;2000;KMP (Precise Borders);406276;137358
DNA;100000;false;2100;Naive;475174;135437
DNA;100000;false;2100;KMP (Standard Borders);419339;137012
DNA;100000;false;2100;KMP (Precise Borders);407897;137649
DNA;100000;false;2200;Naive;473697;135512
DNA;100000;false;2200;KMP (Standard Borders);417719;137117
DNA;100000;false;2200;KMP (Precise Borders);408453;137773
DNA;100000;false;2300;Naive;476252;135660
DNA;100000;false;2300;KMP (Standard Borders);420742;137452
DNA;100000;false;2300;KMP (Precise Borders);411072;138268
DNA;100000;false;2400;Naive;472741;135714
DNA;100000;false;2400;KMP (Standard Borders);415874;137436
DNA;100000;false;2400;KMP (Precise Borders);405913;137959
DNA;100000;false;2500;Naive;476386;135802
DNA;100000;false;2500;KMP (Standard Borders);421337;137783
DNA;100000;false;2500;KMP (Precise Borders);411914;138930
DNA;100000;false;2600;Naive;474837;135939
DNA;100000;false;2600;KMP (Standard Borders);419349;137963
DNA;100000;false;2600;KMP (Precise Borders);411064;139021
DNA;100000;false;2700;Naive;478101;136052
